idCliente,nombre,teléfono,correo,estadoCuenta,idEmpresa
b8ad4d3d-87e7-4b7e-ac3a-4216cb8f25dd,Alejandro Mendoza,5551122334,alejandro.mendoza@gmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
f75c3b2f-76d6-4e91-a99f-873457f81e13,Beatriz Nuñez,5552233445,beatriz.nunez@hotmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
8d96bb42-600b-49b9-9a9e-1303d28be252,César Jiménez,5553344556,cesar.jimenez@gmail.com,2,de1dc603-1a62-4378-a11d-3d1def3309e3
9c77a095-6ba6-4323-a78b-823378526921,Diana Romero,5554455667,diana.romero@gmail.com,1,de1dc603-1a62-4378-a11d-3d1def3309e3
305f87af-97a4-4f42-a093-24483a0a8a3a,Ernesto Silva,5555566778,ernesto.silva@gmail.com,3,1021d1af-9107-4ed6-b137-c7faa6abf3cd
8d725ed8-a66b-4361-9ab5-ff1bd7aa6bb4,Fabiola Torres,5556677889,fabiola.torres@hotmail.com,1,1021d1af-9107-4ed6-b137-c7faa6abf3cd
02a9a8d2-432c-4d64-b980-80480abaea6f,Gerardo Herrera,5557788990,gerardo.herrera@hotmail.com,1,252dee73-5e4f-4690-b16c-ed4724d41214
754e3e4f-a3d6-48dc-876e-e006c2e63949,Hilda Mendoza,5558899001,hilda.mendoza@hotmail.com,2,252dee73-5e4f-4690-b16c-ed4724d41214
a233d5d1-9478-476d-9d1f-ccc4a20af1a2,Ignacio Paredes,5559900112,ignacio.paredes@gmail.com,1,5c1c5ee8-6b3d-486e-8711-2bfcd6f9828d
ab2ea1c8-82da-456e-b1a7-58a4e9ba4551,Jessica Rojas,5550011223,jessica.rojas@gmail.com,3,5c1c5ee8-6b3d-486e-8711-2bfcd6f9828d
06715e12-47ac-4083-a46c-3660760415ba,Kevin Vega,5551122335,kevin.vega@gmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
e302f155-2737-4480-99c1-5b2cc6923725,Lucía Espinoza,5552233446,lucia.espinoza@gmail.com,1,de1dc603-1a62-4378-a11d-3d1def3309e3
a93e69f0-c0fa-449b-a5b2-a79d3de179a1,Mauricio Fuentes,5553344557,mauricio.fuentes@gmail.com,2,1021d1af-9107-4ed6-b137-c7faa6abf3cd
98607fb6-ba8c-4621-a24b-9ac3d5365dcd,Natalia Campos,5554455668,natalia.campos@gmail.com,1,252dee73-5e4f-4690-b16c-ed4724d41214
1713916c-5c63-4ae8-bf72-daf61f626039,Óscar Peralta,5555566779,oscar.peralta@gmail.com,3,5c1c5ee8-6b3d-486e-8711-2bfcd6f9828d
8e3ef4e1-a988-47ff-97bd-578c8d459ad2,Paulina León,5556677890,paulina.leon@gmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
7bd699a5-ae56-471b-abaa-676c64e12bb7,Raúl Delgado,5557789001,raul.delgado@hotmail.com,1,de1dc603-1a62-4378-a11d-3d1def3309e3
2f0f5df7-ada9-4c24-8c6e-eace3bb0c0e7,Sara Valencia,5558890112,sara.valencia@hotmail.com,2,1021d1af-9107-4ed6-b137-c7faa6abf3cd
86019c0a-9fb1-429b-b3cb-67c109ff9e3f,Tomás Montes,5559901223,tomas.montes@hotmail.com,1,252dee73-5e4f-4690-b16c-ed4724d41214
c34424ce-7e7e-4751-b247-45d3bafd5bf1,Úrsula Quiroz,5550012334,ursula.quiroz@hotmail.com,1,5c1c5ee8-6b3d-486e-8711-2bfcd6f9828d
55ed77cb-a945-418e-8abe-c74dba37ffc6,Andrés Solís,5551123445,andres.solis@gmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
b291417e-15de-464d-90c2-a8aae2388a57,Bianca Ríos,5552234556,bianca.rios@gmail.com,1,de1dc603-1a62-4378-a11d-3d1def3309e3
380e2c05-2fb9-4396-9597-2cd4defd6e8f,Cristóbal Mora,5553345667,cristobal.mora@gmail.com,2,1021d1af-9107-4ed6-b137-c7faa6abf3cd
304396cb-829b-4897-b096-2e72acddfc7d,Débora Cervantes,5554456778,debora.cervantes@gmail.com,3,252dee73-5e4f-4690-b16c-ed4724d41214
58d203a2-58e2-4fbe-bf99-8afb08c56446,Emilio Salazar,5555567889,emilio.salazar@gmail.com,1,5c1c5ee8-6b3d-486e-8711-2bfcd6f9828d
fa775171-52bf-4d6b-9561-3b4bb8f80197,Florencia Ochoa,5556678990,florencia.ochoa@gmail.com,1,7fd525ac-af03-4273-ac28-894fe935cd87
05d1f359-1491-4c57-b23b-308ac8c49012,Gonzalo Ibarra,5557789001,gonzalo.ibarra@gmail.com,2,de1dc603-1a62-4378-a11d-3d1def3309e3
a1564f8f-3682-4676-95c3-1ea7844c0be1,Helena Valdivia,5558890112,helena.valdivia@gmail.com,1,1021d1af-9107-4ed6-b137-c7faa6abf3cd
d3526a48-3b3d-4c2a-b1bc-b620c00107dc,Isidro Peña,5559901223,isidro.pena@gmail.com,3,252dee73-5e4f-4690-b16c-ed4724d41214
